system_code,detector_index,x,y,z,label,panel
0,108,-272.01708984375,-1051.544921875,2136.460693359375,PMT_440,5
0,109,-546.7841186523438,-933.8875122070312,2136.460693359375,PMT_441,5
0,110,545.13916015625,-919.68896484375,2992.822509765625,PMT_442,4
0,111,270.4703369140625,-1038.4031982421875,2992.450439453125,PMT_443,4
0,112,545.4544067382812,927.1583862304688,838.01318359375,PMT_444,1
0,113,-549.8921508789062,927.7466430664062,1265.810791015625,PMT_445,8
0,114,545.4544067382812,927.1583862304688,2985.969482421875,PMT_446,1
0,115,263.8829650878906,1049.173828125,1268.896240234375,PMT_447,1
0,116,-1045.0380859375,-262.43841552734375,2987.239990234375,PMT_448,6
0,117,-1035.5946044921875,275.615234375,1268.8514404296875,PMT_449,7
0,118,-920.8505859375,563.9688720703125,2146.216796875,PMT_450,7
0,119,-1039.85986328125,291.5512390136719,2138.655029296875,PMT_451,7
0,120,-920.8505859375,563.9688720703125,833.343994140625,PMT_452,7
0,121,-1037.727294921875,283.583251953125,833.343994140625,PMT_453,7
0,122,-1045.0380859375,-262.43841552734375,835.739013671875,PMT_454,6
0,123,-1037.727294921875,283.583251953125,2989.028076171875,PMT_455,7
0,124,-930.8336181640625,-549.151123046875,2987.239990234375,PMT_456,6
0,125,-1045.0380859375,-262.43841552734375,2134.529541015625,PMT_457,6
0,126,-930.8336181640625,-549.151123046875,1274.1346435546875,PMT_458,6
0,127,-920.8505859375,563.9688720703125,2989.028076171875,PMT_459,7
0,128,266.620361328125,1047.097412109375,2987.112060546875,PMT_460,1
0,129,-549.8921508789062,927.7466430664062,2987.59912109375,PMT_461,8
0,130,-264.89849853515625,1043.13232421875,2134.888671875,PMT_462,8
0,131,545.4544067382812,927.1583862304688,2134.401611328125,PMT_463,1
2,132,813.5263671875,813.5263671875,2581.0,LAPPD_ANNIE_0,-1
2,133,7.04478115383031e-14,1150.5,1781.0,LAPPD_ANNIE_1,-1
2,134,-813.5263671875,813.5263671875,981.0,LAPPD_ANNIE_2,-1
